FileName,Plant species1,Species_level,Max_intractions,Plant species2,Family_level,Max_intractions,Plant species3,Functional groups,Max_intractions,Plant species4,Order_level,Max_intractions
M_PL_060_24.csv,Psiadia terebinthina,Brachymyrmex,10,Phyllanthus phillyreifolius,Formicidae,11,Stillingia lineata,Fly,14,Stillingia lineata,Diptera,14
M_PL_061_26.csv,Psidium cattleianum,Apis.mellifera,20,Psidium cattleianum,Apidae,21,Canthium bibracteatum,Bee,27,Canthium bibracteatum,Hymenoptera,27
M_PL_061_27.csv,Psidium cattleianum,Apis.mellifera,53,Psidium cattleianum,Apidae,55,Psidium cattleianum,Bee,55,Psidium cattleianum,Hymenoptera,55
M_PL_061_12.csv,Psychotria pervillei,Hemipyrellia,18,Psychotria pervillei,Halictidae,18,Psychotria pervillei,Bee,31,Psychotria pervillei,Hymenoptera,31
M_PL_061_22.csv,Psychotria pervillei,Apis.mellifera,18,Psychotria pervillei,Apidae,18,Dillenia ferruginea,Bee,22,Erythroxylum sechellarum,Hymenoptera,21
M_PL_060_10.csv,Pyrostria fasciculata,Apis.mellifera,25,Pyrostria fasciculata,Apidae,25,Pyrostria fasciculata,Bee,25,Labourdonnaisia callophylloides,Hymenoptera,27
M_PL_060_01.csv,Sideroxylon cinereum,Apis.mellifera,31,Sideroxylon cinereum,Apidae,31,Croton fothergillifolius,Fly,38,Croton fothergillifolius,Diptera,38
M_PL_060_13.csv,Sideroxylon cinereum,Apis.mellifera,38,Sideroxylon cinereum,Apidae,38,Sideroxylon cinereum,Bee,39,Sideroxylon cinereum,Hymenoptera,38
M_PL_060_15.csv,Sideroxylon cinereum,Apis.mellifera,86,Sideroxylon cinereum,Apidae,86,Sideroxylon cinereum,Bee,86,Sideroxylon cinereum,Hymenoptera,88
M_PL_060_05.csv,Sideroxylon puberulum,Apis.mellifera,43,Sideroxylon puberulum,Apidae,43,Sideroxylon puberulum,Bee,43,Sideroxylon puberulum,Hymenoptera,51
M_PL_060_17.csv,Sideroxylon puberulum,Apis.mellifera,74,Sideroxylon puberulum,Apidae,74,Sideroxylon puberulum,Bee,74,Sideroxylon puberulum,Hymenoptera,79
M_PL_060_18.csv,Sideroxylon puberulum,Apis.mellifera,60,Sideroxylon puberulum,Apidae,60,Sideroxylon puberulum,Bee,60,Sideroxylon puberulum,Hymenoptera,61
M_PL_060_19.csv,Sideroxylon puberulum,Apis.mellifera,24,Sideroxylon puberulum,Apidae,24,Sideroxylon puberulum,Bee,24,Sideroxylon puberulum,Hymenoptera,24
M_PL_058.csv,Sonchus tenerrinus,Andrena,51,Opuntia stricta,Apidae,66,Sonchus tenerrinus,Bee,124,Opuntia stricta,Hymenoptera,93
M_PL_060_16.csv,Stillingia lineata,Chaetocnema,17,Myonima violacea,Formicidae,18,Dracaena reflexa,Fly,26,Bertiera zaluzania ,Hymenoptera,28
M_PL_060_02.csv,Toddalia asiatica,Stomorhina.lunata,60,Toddalia asiatica,Calliphoridae,73,Toddalia asiatica,Fly,135,Toddalia asiatica,Diptera,135
M_PL_060_03.csv,Toddalia asiatica,Pachycerina.crinicornis,57,Toddalia asiatica,Lauxaniidae,57,Toddalia asiatica,Fly,115,Toddalia asiatica,Diptera,115
M_PL_013.csv,Xysmalobium gerrardii,Aspilocoryphus.fasciativentris,139,Xysmalobium gerrardii,Lygaeidae,139,Xysmalobium gerrardii,bug,140,Xysmalobium gerrardii,Hemiptera,140
